"#","RefDes","Quantity","Value","Pattern","Name",""
"1","C1, C2","2","1.0 uf","CAP_0805","CAP_0805",""
"2","D4","1","","LED-0603","LED-0603",""
"3","H5","1","","HDR-2x4","HDR-2x4",""
"4","H6","1","","HDR-1x2","HDR-1x2",""
"5","J2, U6","2","","HDRF-1x15","HDRF-1x15",""
"6","R2","1","47k","RES_0805","RES_0805",""
"7","R8","1","1k","RES_0805","RES_0805",""
"8","U1, U2, U3, U4","4","","SOT23-5P95_275X110L40X32N","74AHCT1G08GV,125",""
"9","U5, U7","2","","HDRF-1x5","HDRF-1x5",""
"10","U8","1","","HDR-1x8","HDR-1x8",""
